,consent,leeftijd,gender,opleiding,mancheck,pre_1,pre_2,pre_3,pre_4,pre_5,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_31,pre_32,pre_33,post_1,post_2,post_3,post_4,post_5,post_11,post_12,post_13,post_14,post_15,post_16,post_21,post_22,post_23,post_24,post_25,post_26,post_31,post_32,post_33,news1,news2,news3,conditie,calibrationId,recommendationId,userId
10,1,33,2,2,0,5,2,3,5,1,3,5,4,3,3,3,5,3,2,1,5,3,2,4,1,2,5,4,2,1,3,1,2,1,3,4,3,2,5,3,4,5,3,1,4,5,2,4,1,,,11
11,0,42,0,3,1,2,1,1,3,5,4,1,3,5,2,1,1,2,1,1,4,5,4,4,4,1,1,1,5,4,1,4,2,2,4,4,4,1,2,4,1,3,4,3,5,6,0,2,1,,,12
12,0,32,2,5,0,4,1,4,3,1,1,4,5,1,3,2,1,2,5,2,2,1,3,5,2,4,3,3,4,1,2,5,2,1,5,5,2,2,1,3,2,4,2,1,2,4,0,3,0,,,13
13,1,45,0,3,0,2,4,4,3,5,2,1,4,5,1,1,5,1,1,5,2,2,1,5,3,1,2,3,4,2,1,5,2,3,1,4,2,1,1,1,2,1,1,1,3,3,1,5,1,,,14
14,1,51,3,4,0,2,2,5,2,2,4,5,4,5,4,3,1,3,3,3,3,2,4,3,3,5,4,1,1,3,1,3,3,3,3,4,5,4,2,3,3,2,4,1,5,5,1,0,0,,,15
15,0,26,3,4,1,1,1,1,2,4,3,5,5,4,5,2,4,3,2,2,3,5,4,4,2,5,4,3,2,3,3,5,5,4,2,2,5,2,4,4,3,3,5,3,1,7,0,0,0,,,16
16,1,23,2,3,0,3,4,4,3,4,1,4,5,2,3,2,5,2,2,5,1,4,4,5,5,2,4,3,1,2,4,1,2,2,2,5,5,4,2,5,5,1,4,1,1,7,0,2,0,,,17
17,0,37,1,0,0,4,1,4,5,1,4,4,4,3,5,3,4,3,4,3,2,2,1,5,4,3,5,5,5,1,2,3,2,2,4,4,5,4,2,1,4,2,3,3,1,5,1,5,0,,,18
18,1,39,2,3,1,1,5,2,4,2,4,4,3,2,3,5,3,3,1,3,3,4,3,1,1,5,5,5,5,3,5,4,5,2,2,3,4,5,4,5,2,3,3,5,3,5,2,1,1,,,19
19,1,53,2,0,1,3,1,3,4,1,2,4,2,4,2,5,2,2,1,3,5,3,4,5,1,4,4,5,1,4,5,5,3,2,1,2,1,1,2,5,1,4,5,1,3,5,0,4,1,,,20
20,1,57,0,0,0,4,5,3,1,5,4,1,3,5,5,3,3,2,5,5,1,5,5,3,5,5,2,2,2,5,2,2,2,2,3,4,1,1,5,5,4,1,3,4,1,2,2,5,1,,,21
21,1,40,1,0,1,1,2,5,4,4,3,4,1,1,3,1,2,1,5,1,3,2,3,2,4,5,1,1,3,5,3,3,2,5,1,2,3,5,2,1,1,5,5,4,4,3,1,2,0,,,22
22,1,29,1,1,0,1,1,2,5,2,1,2,1,2,1,1,3,1,3,4,2,1,3,5,1,5,5,4,5,5,1,4,5,5,4,3,5,2,1,2,2,1,2,4,2,6,0,4,0,,,23
23,1,52,1,2,0,1,4,5,3,3,5,5,4,3,4,1,1,1,3,1,4,3,3,2,1,3,5,4,5,5,1,4,1,3,1,3,2,1,5,1,5,4,3,4,3,1,0,5,1,,,24
24,0,55,2,1,0,2,5,3,2,2,5,3,4,4,5,1,2,4,5,4,1,4,2,3,2,4,5,2,3,5,5,3,4,3,2,2,5,1,2,2,3,5,3,2,4,1,0,5,1,,,25
25,0,57,3,5,1,2,2,1,1,5,2,2,4,5,3,1,2,1,4,5,5,5,5,5,1,2,5,2,2,5,5,4,1,4,1,1,3,1,3,3,2,3,4,4,3,7,1,5,1,,,26
26,0,59,0,2,0,2,1,5,2,2,3,2,1,2,2,3,4,1,2,5,1,2,5,2,3,4,3,4,1,2,1,3,1,1,2,5,3,1,3,5,1,2,3,4,3,3,1,4,1,,,27
27,0,22,2,4,1,4,3,4,3,5,5,2,3,2,4,5,3,1,1,4,5,4,2,4,5,3,2,1,2,5,3,5,5,2,3,4,3,5,1,5,1,2,1,3,3,3,0,0,0,,,28
28,1,47,1,0,1,2,1,2,1,2,2,5,5,2,3,1,4,2,1,4,2,3,3,1,3,5,4,2,5,5,1,5,3,1,2,2,5,2,1,3,2,2,1,1,5,2,1,3,1,,,29
29,1,25,0,0,1,1,5,5,2,4,2,3,4,4,1,4,4,5,3,2,4,5,4,1,4,3,1,1,2,3,1,3,2,5,3,1,3,4,4,2,3,1,2,5,1,8,1,5,1,,,30
30,0,38,1,3,0,5,3,1,3,1,1,4,2,3,1,4,2,3,5,2,4,2,5,1,2,2,1,3,3,3,5,1,4,4,4,2,5,2,1,2,2,1,4,3,5,8,0,0,0,,,31
31,1,50,2,5,1,4,5,4,3,2,2,1,5,2,5,4,1,4,3,5,5,5,3,4,4,1,5,2,3,3,2,5,2,1,2,4,4,2,1,3,3,3,1,2,5,6,1,4,1,,,32
32,1,54,0,1,0,4,5,4,2,4,5,5,2,2,5,3,1,4,5,3,5,3,2,1,2,5,5,3,3,5,4,5,4,2,5,1,3,2,2,1,2,3,4,5,5,7,1,5,0,,,33
33,1,22,1,3,0,5,2,5,1,3,2,4,1,4,5,4,1,5,5,1,5,2,1,4,1,3,4,4,2,3,2,5,1,2,5,4,3,2,1,3,5,3,3,5,2,2,2,0,1,,,34
34,1,49,1,5,1,1,4,3,3,4,3,5,2,3,5,3,2,3,3,4,4,2,5,3,5,3,1,3,4,5,5,2,3,2,2,4,3,3,3,5,5,5,1,1,2,2,2,3,0,,,35
35,1,21,3,0,1,3,1,3,1,3,1,3,5,5,5,3,2,1,1,5,1,3,5,5,4,2,5,5,5,3,2,4,3,4,2,5,4,2,1,2,5,5,4,5,4,4,2,4,0,,,36
36,0,29,1,2,1,1,4,1,4,2,3,1,3,2,2,4,5,2,3,3,5,5,5,3,1,1,5,5,3,2,3,2,3,1,2,5,4,2,4,3,5,1,5,5,2,8,1,0,1,,,37
37,0,38,1,0,1,4,1,1,4,3,2,4,1,3,4,3,3,5,3,2,1,3,5,3,4,2,1,2,1,3,5,4,2,1,1,2,3,3,1,1,5,5,4,3,3,0,0,0,1,,,38
38,0,28,3,5,1,3,4,5,2,4,2,3,4,4,2,3,4,1,3,1,3,2,3,4,2,1,5,2,5,5,1,2,2,1,4,4,4,1,2,2,4,1,4,1,1,2,1,4,0,,,39
39,0,45,0,5,1,5,3,4,1,5,3,4,4,5,3,1,1,5,5,2,2,2,2,1,5,1,4,4,2,5,5,4,3,3,4,2,1,1,1,5,3,3,4,2,5,0,0,1,0,,,40
40,1,40,1,1,1,4,1,5,3,5,3,1,5,3,5,5,2,2,2,3,4,1,5,3,1,5,4,2,3,4,3,4,3,5,4,4,5,2,3,1,3,5,5,4,1,8,1,2,1,,,41
41,0,33,0,3,0,3,3,4,3,4,4,1,2,2,1,1,2,3,4,4,1,1,3,1,5,1,4,2,4,1,4,2,2,3,1,5,3,3,2,4,1,1,3,5,3,2,2,5,1,,,42
42,0,57,0,1,1,2,2,3,3,3,3,5,4,1,5,1,3,2,2,1,5,2,1,5,2,1,1,4,1,2,3,2,4,4,4,3,2,3,3,3,2,2,1,5,4,8,0,4,0,,,43
43,0,32,2,3,1,3,1,4,1,4,2,4,5,4,1,2,2,3,5,2,4,3,4,5,5,5,3,1,3,5,5,2,1,3,4,5,1,3,2,1,1,5,5,5,3,1,0,5,0,,,44
44,0,40,3,0,0,3,3,1,4,5,4,4,5,5,5,2,3,1,2,4,4,5,4,4,5,4,4,4,3,1,5,5,5,5,4,4,4,5,2,5,4,5,4,3,4,5,0,2,1,,,45
45,1,53,3,1,1,1,3,3,3,4,3,4,4,2,5,2,5,1,4,3,4,5,4,3,5,2,1,5,3,3,5,5,4,5,5,5,3,2,4,1,4,3,1,3,4,2,2,4,0,,,46
46,0,37,0,1,0,4,3,3,2,4,5,4,2,4,5,2,1,1,3,2,1,3,3,3,4,1,3,2,2,4,3,4,1,4,2,4,5,5,3,3,4,4,3,4,5,0,1,1,1,,,47
47,0,51,2,4,0,4,5,5,3,1,1,1,3,4,5,3,4,4,3,1,1,5,1,5,5,3,4,2,3,5,1,5,1,2,1,3,1,4,2,1,5,4,1,4,5,3,2,2,0,,,48
48,0,42,0,5,1,2,3,4,4,5,4,3,5,5,1,3,2,5,4,5,3,1,4,5,5,3,1,5,2,5,5,3,3,5,3,2,2,5,3,3,5,2,5,3,4,3,2,1,1,,,49
49,0,27,3,2,0,3,3,3,5,5,5,5,3,2,4,3,2,3,4,3,5,4,4,5,4,1,5,3,1,3,2,3,5,3,3,4,3,2,5,3,5,2,1,1,2,2,0,1,0,,,50
50,0,56,0,4,1,4,5,2,3,5,5,2,5,5,4,4,4,4,1,5,2,2,1,4,3,3,5,1,2,1,4,3,3,2,5,1,5,3,2,1,1,4,3,2,3,1,0,2,0,,,51
51,0,28,2,4,1,5,5,2,2,2,5,4,1,2,5,1,4,2,1,3,4,1,5,3,1,3,1,3,1,3,2,3,3,2,4,1,3,3,5,5,3,3,4,3,1,7,1,4,1,,,52
52,1,31,3,3,1,3,3,1,5,1,4,2,5,2,4,4,1,5,2,3,5,2,1,1,3,3,3,1,5,1,2,4,3,5,4,1,4,2,1,2,2,2,2,1,3,3,1,2,1,,,53
53,0,60,2,0,1,3,2,1,5,4,1,2,5,5,4,4,3,2,5,2,5,5,4,3,5,1,2,2,1,1,3,1,3,1,1,4,4,1,4,4,1,2,3,5,5,3,0,0,1,,,54
54,1,24,0,3,1,4,5,4,1,2,2,1,4,3,4,3,3,5,5,2,1,5,1,2,2,2,3,5,5,2,3,3,5,3,3,2,4,5,3,2,3,4,3,2,3,2,0,1,0,,,55
55,1,27,0,4,1,3,5,1,2,1,2,3,1,3,4,4,2,1,4,1,4,4,3,5,4,3,5,1,5,4,3,1,4,1,1,1,4,3,2,4,1,5,4,1,5,3,1,5,1,,,56
56,0,28,1,1,0,3,2,4,3,2,2,3,5,3,5,1,1,2,3,5,1,3,5,2,4,1,5,2,5,1,2,4,3,4,1,5,4,3,4,1,5,2,4,1,1,8,2,0,0,,,57
57,1,57,0,1,0,4,5,4,3,1,2,3,5,5,5,5,3,4,5,2,4,5,4,1,5,1,1,2,1,1,1,5,1,5,5,2,3,1,4,2,5,4,2,4,3,6,0,5,1,,,58
58,1,22,2,5,0,1,4,2,1,2,4,5,4,3,2,3,2,3,2,1,1,5,4,3,4,2,4,1,1,4,5,4,5,5,4,3,2,4,1,3,2,3,1,4,4,8,0,4,0,,,59
59,0,47,2,2,1,4,4,1,3,4,3,3,1,4,5,1,4,1,4,4,5,4,4,5,5,2,3,4,1,1,5,3,1,3,1,5,4,2,5,4,5,5,1,5,1,4,0,0,0,,,60
