,userId,genre,consent,device,gender,opleiding,age,mancheck1,mancheck2,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_11,pre_12,pre_13,pre_14,pre_15,pre_16,pre_21,pre_22,pre_23,pre_24,pre_25,pre_26,pre_31,pre_32,pre_33,post_1,post_2,post_3,post_4,post_5,post_8,post_9,post_10,post_11,post_12,post_13,post_14,post_15,post_16,post_17,post_18,post_19,post_20,post_21,post_22,post_23,post_24,post_25,post_26,post_27,post_28,post_29,post_30,post_31,post_32,post_33,post_34,post_35,post_36,post_37,post_38,post_39,post_40,post_41,post_42,conditie,calibrationId,recommendationId
10,11,0,1,1,3,1,41,0,0,3,2,3,7,7,6,6,3,1,2,7,7,4,5,6,1,4,1,7,5,6,5,5,2,6,7,1,4,6,5,4,2,1,2,7,7,2,2,1,4,6,6,6,3,7,1,5,2,4,7,4,3,3,7,5,2,2,2,6,4,1,4,0,,
11,12,2,1,3,0,3,41,0,1,1,3,3,3,6,5,4,7,7,4,6,5,7,4,7,4,5,3,2,5,4,4,4,2,6,2,5,2,2,7,1,4,4,6,6,3,2,4,1,4,7,6,7,7,2,5,4,1,7,6,2,4,3,3,1,5,7,5,7,6,6,3,1,,
12,13,4,1,1,2,3,54,0,0,2,1,3,2,2,3,5,4,6,2,5,1,1,5,1,5,2,5,5,2,5,4,6,6,7,3,5,1,7,2,2,4,1,2,1,1,4,1,4,5,3,5,5,3,2,2,2,3,7,1,5,5,3,6,2,2,5,7,1,3,4,3,0,,
13,14,2,1,2,0,1,53,0,1,6,6,4,2,6,2,4,5,7,1,3,5,6,4,1,3,4,7,7,4,6,5,4,3,7,6,4,5,5,6,1,4,2,5,4,7,6,5,4,6,7,7,5,1,6,7,2,7,2,1,5,6,4,7,5,3,3,3,4,6,7,2,0,,
14,15,3,0,2,0,1,20,0,1,4,6,4,2,3,7,3,5,6,2,5,4,4,7,4,7,7,5,6,3,4,4,5,4,6,1,4,4,3,2,5,1,5,7,2,7,4,7,3,4,7,6,2,7,4,1,2,6,2,2,1,2,4,7,5,5,6,3,2,1,1,4,0,,
15,16,1,1,2,1,5,26,0,0,4,3,1,2,2,4,1,3,4,5,4,5,7,5,6,4,2,6,2,6,5,1,3,1,4,3,6,3,6,2,4,6,5,3,4,5,2,4,6,2,4,5,5,1,3,7,6,2,5,6,3,2,3,4,4,1,4,6,1,7,2,2,0,,
16,17,5,1,2,3,1,48,1,1,5,3,2,3,4,1,5,5,3,5,6,5,7,1,5,1,4,6,4,1,2,6,3,4,2,1,7,3,5,2,4,1,5,1,2,6,1,4,3,2,4,3,4,4,4,5,7,3,5,2,7,2,4,7,3,5,7,7,4,7,7,2,0,,
17,18,5,0,1,0,3,34,1,1,2,3,1,5,7,1,5,2,6,3,6,2,2,6,5,2,3,4,5,7,7,4,5,2,2,1,4,5,5,2,5,5,1,4,7,7,7,3,4,7,2,4,6,1,4,5,1,4,6,2,5,6,4,7,4,3,4,2,7,6,2,5,0,,
18,19,5,0,1,2,4,26,0,0,6,2,7,3,2,7,2,3,7,5,5,4,2,2,6,3,1,4,6,4,2,4,6,1,1,6,2,7,2,2,3,5,2,2,4,6,2,7,2,5,2,4,1,3,7,2,6,2,5,4,3,5,2,1,7,4,6,6,2,7,1,4,0,,
19,20,2,0,3,2,1,43,1,0,2,7,5,7,4,7,5,7,1,4,3,5,6,7,6,4,4,6,7,7,1,4,7,3,6,3,3,7,2,1,6,5,5,1,2,2,6,1,7,6,4,7,4,5,1,7,5,3,2,1,7,6,6,2,7,2,1,7,3,3,3,7,1,,
20,21,0,0,3,2,0,20,1,0,2,6,7,7,5,4,1,5,5,2,1,6,2,7,3,7,5,4,1,5,2,6,5,2,2,1,1,4,1,4,2,1,7,7,1,5,6,6,6,2,6,1,7,1,2,7,1,3,5,5,7,2,1,7,7,5,7,7,5,6,4,7,0,,
21,22,0,0,1,2,5,33,0,1,5,5,4,3,1,2,6,3,7,5,6,2,3,1,5,7,5,5,4,3,1,2,7,7,4,1,6,4,2,5,7,2,4,7,1,2,4,3,6,4,4,5,5,4,4,1,5,2,3,3,6,7,1,1,4,6,7,5,3,5,3,4,0,,
22,23,4,0,2,2,1,36,1,0,6,3,3,6,3,7,4,3,4,3,7,2,7,6,7,5,7,6,3,4,7,6,6,4,5,1,7,5,3,5,5,7,7,3,5,1,6,4,5,7,7,3,5,2,7,3,2,6,5,1,6,4,3,1,2,5,3,6,7,7,4,2,1,,
23,24,4,1,3,1,3,22,0,0,1,2,6,1,6,4,2,6,3,4,4,4,7,6,1,2,5,6,6,4,7,7,3,5,3,6,7,1,7,5,5,3,6,4,2,1,4,2,3,5,3,5,2,7,7,2,6,6,5,3,3,5,3,5,6,4,4,5,1,1,6,6,1,,
24,25,0,1,2,3,3,37,0,0,7,2,7,4,2,7,6,1,4,2,2,6,4,3,7,3,3,7,3,5,2,1,3,7,1,3,4,4,6,4,3,7,7,4,1,6,4,1,6,4,1,4,2,1,2,4,6,7,3,3,5,2,5,7,3,2,7,3,7,1,5,2,0,,
25,26,0,1,3,3,4,38,1,0,1,1,3,4,2,6,2,4,2,1,4,3,4,3,4,5,3,4,4,4,4,2,7,7,7,7,6,5,2,1,4,4,5,7,4,4,6,6,7,2,3,4,1,1,5,3,4,7,1,6,5,6,6,6,6,2,2,2,1,4,7,6,1,,
26,27,0,0,2,3,4,19,0,0,5,2,4,3,5,2,4,2,7,7,6,2,2,4,6,2,4,4,1,3,4,2,7,5,3,6,1,5,4,7,7,7,4,6,6,6,3,4,6,6,1,5,7,6,7,5,4,1,3,7,1,3,2,3,5,5,5,1,2,1,6,3,0,,
27,28,4,0,2,2,5,58,0,1,5,3,6,4,6,2,2,5,1,5,5,2,4,4,7,7,6,4,4,4,3,6,2,2,4,4,4,2,1,6,5,1,6,2,2,3,7,4,1,1,5,5,1,3,2,7,7,7,1,1,1,5,5,1,6,7,3,2,4,3,3,7,0,,
28,29,3,1,1,1,1,29,0,1,3,5,5,6,5,1,7,4,4,4,3,2,3,5,3,2,4,1,5,7,1,7,2,2,2,2,4,2,5,7,6,5,7,2,6,5,2,7,2,3,7,2,1,7,1,2,1,6,2,6,7,2,1,6,5,7,7,4,6,7,2,3,0,,
29,30,2,1,3,0,3,43,1,0,1,5,2,3,2,2,6,3,3,5,1,4,4,7,7,3,1,3,4,2,6,2,6,3,7,6,5,6,6,1,3,3,7,3,4,2,2,5,6,5,4,4,4,3,4,7,3,2,4,1,5,1,7,5,1,5,6,6,6,6,2,1,1,,
30,31,2,0,1,3,5,24,1,0,3,2,4,3,6,5,6,5,5,4,7,5,6,7,1,6,2,7,6,5,6,7,2,2,1,2,1,7,2,2,3,5,4,1,2,2,5,4,7,3,1,5,2,4,6,2,7,1,5,7,4,1,6,2,7,2,7,2,1,6,2,7,0,,
31,32,5,1,3,2,1,31,1,0,6,6,3,5,6,6,3,5,2,5,5,4,6,5,3,3,7,4,6,6,4,7,6,6,6,5,6,1,5,7,1,3,1,1,2,5,4,6,6,2,6,7,6,1,1,1,7,5,2,1,7,6,1,5,3,3,4,1,1,2,1,1,0,,
32,33,5,1,1,0,4,58,1,1,6,1,3,6,3,3,2,7,3,1,2,5,5,2,4,1,3,6,6,7,2,5,4,2,1,2,6,3,5,3,5,5,7,3,1,3,7,5,1,6,7,4,4,5,2,2,2,3,2,4,1,2,2,7,3,7,4,6,4,7,1,4,0,,
33,34,3,1,3,0,5,36,1,0,7,5,1,2,6,7,2,6,6,3,6,6,7,4,7,1,4,4,5,2,2,5,6,1,1,1,6,4,7,4,4,4,5,1,7,1,1,5,5,6,6,3,7,2,6,2,5,4,5,5,6,7,2,4,1,7,2,1,1,4,1,7,1,,
34,35,2,0,2,2,5,24,0,1,4,2,2,2,3,7,3,3,4,4,5,6,2,2,6,1,3,1,1,3,3,4,2,1,4,6,3,2,3,2,1,4,3,7,6,2,2,2,5,4,2,4,1,4,1,5,7,4,5,3,6,6,7,1,4,1,3,4,7,4,6,4,0,,
35,36,5,0,1,1,4,26,1,0,5,5,6,4,1,5,5,5,4,5,3,6,5,3,5,2,5,2,7,4,7,1,2,7,1,1,2,4,3,3,3,2,3,1,2,7,1,6,4,5,5,5,5,2,1,2,7,5,1,5,3,1,3,7,2,6,7,7,7,3,5,5,1,,
36,37,5,0,1,2,0,26,1,0,1,4,7,4,6,1,3,2,3,1,4,5,1,7,3,1,6,7,3,6,3,7,5,5,3,5,2,4,3,6,5,2,5,2,4,4,5,5,2,1,7,4,4,1,1,4,2,2,3,4,6,4,4,5,7,6,4,6,4,2,7,5,0,,
37,38,3,0,3,0,1,35,1,1,1,5,2,4,4,7,6,6,3,3,7,3,2,5,3,7,1,6,1,6,5,1,4,6,1,3,3,6,5,5,7,5,3,6,7,2,1,7,4,6,6,5,6,4,4,6,6,1,2,5,7,3,4,3,7,7,5,2,7,4,5,3,0,,
38,39,5,1,2,3,2,35,1,0,7,2,5,5,2,3,6,6,2,6,6,7,6,2,3,3,6,1,5,4,6,6,7,3,4,3,1,3,7,6,1,7,7,2,5,4,1,6,4,5,4,5,1,4,3,6,4,2,4,1,2,4,6,7,4,1,3,1,4,6,5,4,0,,
39,40,4,1,2,1,4,60,0,0,3,6,5,1,5,6,2,2,4,2,1,5,6,5,4,2,2,2,4,5,5,3,6,7,6,7,6,5,2,5,5,2,7,7,3,1,6,7,6,5,6,6,4,7,1,6,6,5,4,2,6,7,4,3,7,6,2,2,6,1,4,2,0,,
40,41,1,0,2,2,5,58,1,1,5,2,2,6,4,7,7,2,1,7,6,5,1,6,6,7,2,4,2,2,5,5,5,7,1,1,2,1,4,1,4,2,5,5,3,7,6,3,4,3,6,5,6,5,6,3,4,2,5,7,3,3,6,5,4,4,6,2,3,5,5,4,0,,
41,42,4,0,3,2,0,39,0,1,1,7,3,5,7,2,7,7,3,3,5,6,4,5,3,2,5,2,6,7,6,1,7,7,5,5,4,7,6,2,1,6,2,4,3,7,1,4,6,6,4,7,4,5,6,2,3,2,5,6,1,7,5,5,3,2,1,5,6,2,7,4,0,,
42,43,5,1,2,0,3,23,0,1,3,2,7,6,6,2,6,2,4,7,6,6,4,4,5,7,6,6,1,1,7,7,5,7,3,5,5,4,5,6,7,5,1,3,7,3,2,5,5,1,5,4,3,5,1,5,1,3,4,3,2,5,2,3,5,5,7,5,5,2,4,3,1,,
43,44,3,1,2,1,2,55,0,1,5,2,5,4,1,5,3,7,1,7,4,5,4,3,1,5,1,3,7,3,5,3,7,7,4,5,5,5,6,5,1,6,3,2,1,1,3,1,6,6,2,4,6,3,5,5,1,4,1,4,3,2,4,2,7,1,7,6,7,2,4,4,0,,
44,45,1,1,2,2,5,54,1,1,5,3,4,5,4,6,1,3,4,7,3,6,2,4,4,2,6,3,7,7,7,4,2,1,4,4,7,5,3,5,7,1,2,2,2,3,6,2,2,6,1,3,3,6,6,4,3,2,4,1,3,4,2,7,2,3,4,5,4,4,1,1,0,,
45,46,2,1,2,1,0,60,0,1,7,2,1,3,7,5,5,4,4,7,1,6,1,2,3,2,1,7,2,6,2,7,7,3,5,2,1,6,2,6,7,5,7,2,1,1,5,4,5,7,6,6,6,3,1,7,4,3,2,5,2,1,2,7,3,4,3,6,2,3,1,7,0,,
46,47,3,0,1,0,0,31,0,1,5,6,3,1,1,7,2,3,4,5,5,5,5,7,3,6,7,5,1,4,6,1,7,6,5,7,1,2,6,6,5,5,4,1,6,5,4,4,4,7,1,5,1,2,5,6,1,3,1,5,5,7,2,7,5,3,7,7,6,3,5,7,0,,
47,48,0,0,2,0,4,19,0,0,5,1,5,6,2,1,5,4,5,5,4,3,2,2,4,5,2,1,6,6,7,2,7,2,4,4,1,2,2,4,4,4,7,4,2,1,6,6,6,1,3,5,5,7,4,1,4,4,3,2,7,3,2,3,5,6,3,7,2,2,5,6,0,,
48,49,3,1,3,1,3,50,1,1,7,2,5,3,6,6,2,1,3,2,3,1,6,4,2,5,3,5,4,5,1,3,4,6,4,3,1,6,2,1,2,6,7,3,7,2,7,5,3,3,4,3,3,7,7,1,1,4,2,1,3,4,1,7,7,4,2,6,7,7,3,6,0,,
49,50,3,0,3,0,2,27,1,0,6,2,5,6,7,1,1,6,5,1,7,4,4,2,7,7,7,1,5,3,5,3,6,5,1,6,1,4,4,2,1,7,3,6,6,5,1,3,1,5,3,2,4,6,3,4,2,3,4,5,3,3,6,4,3,5,2,3,4,2,2,4,1,,
50,51,1,0,2,1,2,30,0,1,3,6,6,2,1,6,5,5,4,2,7,6,3,4,2,2,3,5,7,7,2,6,4,4,6,7,6,7,4,3,4,7,1,3,3,4,4,2,2,6,2,7,6,6,1,3,1,2,5,5,7,6,6,1,6,7,3,4,5,3,6,3,1,,
51,52,3,0,1,2,4,54,1,0,6,2,6,1,1,6,2,5,7,1,2,3,3,4,4,2,7,7,5,5,1,5,4,7,1,1,2,5,2,5,6,1,3,3,3,7,1,3,5,4,6,5,5,4,3,4,4,1,5,6,7,7,3,4,6,2,1,5,3,3,2,2,0,,
52,53,5,1,3,3,0,22,1,1,5,2,2,5,1,3,3,1,7,5,4,7,6,6,1,7,1,6,4,6,2,4,1,2,1,6,1,2,5,6,5,2,3,6,4,6,2,4,1,4,4,7,6,4,1,4,3,5,2,4,5,4,1,5,7,2,1,7,6,6,7,4,1,,
53,54,4,1,3,3,0,22,0,1,3,3,3,3,2,4,2,3,1,4,1,7,5,7,5,7,5,7,3,1,7,7,7,6,6,7,4,3,3,6,1,1,4,6,4,5,3,6,7,1,7,1,3,7,2,7,6,2,2,7,1,7,4,5,5,2,4,5,1,4,7,5,0,,
54,55,3,1,2,3,2,59,0,0,7,2,2,4,5,5,3,7,7,3,4,4,5,1,1,6,5,5,2,3,4,5,6,5,4,2,6,3,2,2,4,5,7,4,5,1,4,4,5,1,4,5,1,4,7,2,7,7,5,1,5,4,5,5,1,1,4,2,1,3,3,5,1,,
55,56,3,0,2,3,3,37,0,0,5,7,6,7,3,6,4,3,5,6,5,2,4,4,6,4,6,1,5,5,2,1,1,3,1,3,3,2,2,7,5,4,4,7,2,6,3,3,7,4,4,3,1,1,2,4,6,5,7,2,5,7,1,5,5,5,6,1,5,3,1,5,1,,
56,57,5,0,3,2,2,25,0,0,1,7,3,3,2,4,7,4,3,2,5,3,3,3,6,5,3,7,1,5,4,2,2,2,7,1,3,7,6,7,6,3,3,6,1,3,6,7,6,4,4,7,3,4,4,3,3,2,3,6,6,2,1,7,6,1,4,1,7,1,4,3,1,,
57,58,3,1,3,3,3,49,1,0,4,5,5,3,7,7,5,3,3,4,5,7,5,6,3,7,7,1,6,5,2,7,3,5,2,7,6,2,1,2,6,2,3,7,6,2,5,7,3,4,6,7,1,3,3,1,5,1,2,2,3,3,4,4,5,5,2,1,5,1,5,7,1,,
58,59,3,0,2,0,3,35,1,1,2,5,4,1,2,4,2,1,7,5,1,5,1,5,1,5,7,3,3,7,2,3,2,1,1,2,3,3,3,1,5,7,2,6,4,2,2,1,5,1,1,7,6,3,2,5,4,2,2,5,4,3,2,4,4,6,2,7,2,6,5,1,1,,
59,60,5,0,2,2,4,60,0,0,4,6,6,7,5,2,6,3,2,2,1,5,3,3,6,3,7,2,6,4,7,3,5,4,3,7,2,4,2,6,1,6,2,5,2,7,3,6,1,3,1,4,6,6,2,6,4,4,4,5,7,6,3,1,5,5,5,5,5,7,5,6,1,,
